timestamp_s,encoder_counts,micrometer_mm,actual_cps,duty_out
4.675799937103875e-05,0,1.9988000000000001,0.0,0.0
0.005106870999952662,0,1.9988000000000001,0.0,0.0
0.010163207000005059,0,1.9988000000000001,0.0,0.0
0.015218802000163123,0,1.9988000000000001,0.0,0.0
0.020273377999728837,0,1.9988000000000001,0.0,0.02202774709996447
0.025329398999929253,0,1.9988000000000001,0.0,0.02202774709996447
0.03038523399936821,0,1.9988000000000001,0.0,0.02202774709996447
0.03544049599986465,0,1.9988000000000001,0.0,0.02202774709996447
0.04049616500014963,0,1.9988000000000001,0.0,0.024050051699960023
0.04555157499999041,0,1.9988000000000001,0.0,0.024050051699960023
0.05060674299966195,0,1.9988000000000001,0.0,0.024050051699960023
0.05566185699990456,0,1.9988000000000001,0.0,0.024050051699960023
0.06071733999942808,0,1.9988000000000001,0.0,0.026072139600019
0.06577313900015724,0,1.9988000000000001,0.0,0.026072139600019
0.07082912299938471,0,1.9988000000000001,0.0,0.026072139600019
0.07588464299988118,0,1.9988000000000001,0.0,0.026072139600019
0.08093975700012379,0,1.9988000000000001,0.0,0.028094362700012428
0.08599524100009148,0,1.9988000000000001,0.0,0.028094362700012428
0.09105053900020721,0,1.9988000000000001,0.0,0.028094362700012428
0.09610615200017492,0,1.9988000000000001,0.0,0.028094362700012428
0.10116124700016371,0,1.9988000000000001,0.0,0.030116498800016416
0.10621658299987757,0,1.9988000000000001,0.0,0.030116498800016416
0.11128067699974054,0,1.9988000000000001,0.0,0.030116498800016416
0.11633579099998315,0,1.9988000000000001,0.0,0.030116498800016416
0.12139144100001431,0,1.9988000000000001,0.0,0.032139545999980326
0.1264471289996436,0,1.9988000000000001,0.0,0.032139545999980326
0.13150244600001315,0,1.9988000000000001,0.0,0.032139545999980326
0.13655768899934628,0,1.9988000000000001,0.0,0.032139545999980326
0.14161267199961003,0,1.9988000000000001,0.0,0.03416164869997374
0.14666791499985266,0,1.9988000000000001,0.0,0.03416164869997374
0.15172330599943962,0,1.9988000000000001,0.0,0.03416164869997374
0.1567787899994073,0,1.9988000000000001,0.0,0.03416164869997374
0.16183386600005178,0,1.9988000000000001,0.0,0.036183768100017916
0.16688955399968108,0,1.9988000000000001,0.0,0.036183768100017916
0.17194526000002952,0,1.9988000000000001,0.0,0.036183768100017916
0.17700070699993375,0,1.9988000000000001,0.0,0.036183768100017916
0.18205600500004948,0,1.9988000000000001,0.0,0.038205974600004994
0.18711108099978446,0,1.9988000000000001,0.0,0.038205974600004994
0.19216669500019634,0,1.9988000000000001,0.0,0.038205974600004994
0.1972221409996564,0,1.9988000000000001,0.0,0.038205974600004994
0.20227747699937026,0,1.9988000000000001,0.0,0.04022813469993707
0.20733562699933827,0,1.9988000000000001,0.0,0.04022813469993707
0.21239085199977126,0,1.9988000000000001,0.0,0.04022813469993707
0.21744607599976007,0,1.9988000000000001,0.0,0.04022813469993707
0.2225011339996854,0,1.9988000000000001,0.0,0.042250513400013005
0.22755658099958964,0,1.9988000000000001,0.0,0.042250513400013005
0.23261193500002264,0,1.9988000000000001,0.0,0.042250513400013005
0.23766756699933467,0,1.9988000000000001,0.0,0.042250513400013005
0.2427228099995773,0,1.9988000000000001,0.0,0.04427269019999585
0.24777833000007377,0,1.9988000000000001,0.0,0.04427269019999585
0.2528337029998511,0,1.9988000000000001,0.0,0.04427269019999585
0.2578893350000726,0,1.9988000000000001,0.0,0.04427269019999585
0.26294496699938463,0,1.9988000000000001,0.0,0.04629490039998928
0.2680009499999869,0,1.9988000000000001,0.0,0.04629490039998928
0.27305665599942586,0,1.9988000000000001,0.0,0.04629490039998928
0.2781119920000492,0,1.9988000000000001,0.0,0.04629490039998928
0.2831675870002073,0,1.9988000000000001,0.0,0.04831719010000597
0.2882235329998366,0,1.9988000000000001,0.0,0.04831719010000597
0.2932795359993179,0,1.9988000000000001,0.0,0.04831719010000597
0.2983351490001951,0,1.9988000000000001,0.0,0.04831719010000597
0.30339053999978205,1,1.9988000000000001,49.44966723624933,0.02855958150549121
0.308445801999369,1,1.9988000000000001,49.44966723624933,0.02855958150549121
0.3135009329998866,1,1.9988000000000001,49.44966723624933,0.02855958150549121
0.3185561949994735,1,1.9988000000000001,49.44966723624933,0.02855958150549121
0.3236122529997374,1,1.9988000000000001,0.0,0.05036168819994419
0.32866769900010695,1,1.9988000000000001,0.0,0.05036168819994419
