timestamp_s,encoder_counts,micrometer_mm
3.7276000512065366e-05,0,2.0031
0.005103100000269478,0,2.0031
0.01016736800011131,0,2.0031
0.015223674000480969,1,2.0031
0.020279369000490988,19,2.0031
0.025350618000629765,80,2.0031
0.030420905000028142,123,2.0031
0.03547750699999597,137,2.0031
0.04053351700076746,138,2.0031
0.045589045000269834,162,2.0031
0.05064401700019516,219,2.0031
0.055699323000226286,272,2.0031
0.06075551800040557,312,2.0031
0.06581136100066942,355,2.0031
0.07086716699996032,387,2.0031
0.07592267700056254,423,2.0031
0.08097848300076294,489,2.0031
0.08603462200062495,551,2.0031
0.09109052100029658,600,2.0031
0.09614584600058151,641,2.0031
0.10120129999995697,667,2.0031
0.10625701300068613,696,2.0031
0.11131267100063269,761,2.0031
0.11636820000057924,828,2.0031
0.1214235990000816,881,2.0031
0.12647903400011273,924,2.0031
0.1315346920000593,950,2.0031
0.13660151700059942,976,2.0031
0.14166613700035668,1035,2.0031
0.14672253600019758,1098,2.0031
0.15177878600024997,1149,2.0031
0.15683537000040815,1190,2.0031
0.16189067600043927,1213,2.0031
0.16694607499994163,1246,2.0031
0.17200178900020546,1318,2.0031
0.1770572990008077,1374,2.0031
0.18211329000041587,1426,2.0031
0.18716876300004515,1460,2.0031
0.19222451300083776,1480,2.0031
0.19727972700002283,1521,2.0031
0.20233510700018087,1581,2.0031
0.20739063500059274,1637,2.0031
0.21244620100060274,1695,2.0031
0.21750167400023201,1726,2.0031
0.2225568870007919,1748,2.0031
0.22761200800050574,1754,2.0031
0.2326668880004945,1758,2.0031
0.23772269500022958,1798,2.0031
0.24277742699996452,1847,2.0031
0.2478332330001649,1899,2.0031
0.2528873350001959,1953,2.0031
0.25794273400060774,1994,2.0031
0.26299776199994085,2013,2.0031
0.2680535310000778,2018,2.0031
0.2731122820005112,2018,2.0031
0.2781693290007752,2061,2.0031
0.28322457900048903,2113,2.0031
0.2882803850006894,2173,2.0031
0.2933361180002976,2224,1.9887000000000001
0.2983920160004345,2254,1.9887000000000001
0.30344739600059256,2265,1.9886000000000001
0.3085031660002642,2263,1.9885000000000002
0.3135587310007395,2273,1.9892
0.31861470400053804,2316,1.9899
0.32367038000029424,2367,1.9901000000000002
0.3287271310000506,2428,1.9899
0.33378286300012405,2479,1.9894
0.3388388170005783,2514,1.9887000000000001
